fips,pop
37025,184498
37027,81930
37029,10090
37031,67632
37033,23217
37035,154339
37037,65976
37039,26992
37041,14772
37043,10618
37045,97474
37047,57638
37049,104770
37051,324049
37053,24077
37055,34573
37057,163260
37059,41433
37061,60033
37063,279641
37065,55954
37067,358137
37069,61475
37071,208049
37073,11869
37075,8700
37077,60436
37079,21429
37081,500879
37083,54006
37085,122135
37087,58908
37089,108266
37091,24438
37093,50536
37095,5859
37097,162708
37099,40448
37101,174938
37103,10275
37105,59715
37107,59227
37109,79313
37111,44998
37113,33869
37115,20742
37117,23961
37119,969031
37121,15368
37123,27668
37125,90302
37127,95708
37129,209234
37131,21428
37133,183263
37135,137941
37137,13074
37139,40591
37141,54195
37143,13563
37145,39268
37147,172554
37149,20271
37151,142466
37153,46627
37155,135496
37157,92720
37159,138180
37161,67323
37163,63949
37165,36094
37167,60576
37169,46783
37171,73561
37173,14141
37175,32849
37177,4338
37179,208520
37181,45132
37183,952151
37185,20576
37187,12736
37189,51871
37191,124246
37193,69306
37195,81867
37197,38084
37199,17630
38001,2311
38003,11015
38005,6760
38007,905
38009,6579
38011,3202
38013,2171
38015,85774
38017,156157
38019,3948
38021,5268
38023,2228
38025,3967
38027,2368
38029,3491
38031,3392
38033,1804
38035,67472
38037,2333
38039,2362
38041,2553
38043,2426
38045,4114
38047,1924
38049,5789
38051,2751
38053,7987
38055,9309
38057,8486
38059,28101
38061,8734
38063,3080
38065,1838
38067,7271
38069,4457
38071,11536
38073,5444
38075,2559
38077,16217
38079,14382
38081,3896
38083,1266
38085,4347
38087,758
38089,26771
38091,1989
38093,20934
38095,2318
38097,8072
38099,11046
38101,64798
38103,4271
38105,26697
39001,28350
39003,105141
39005,52962
39007,100389
39009,64304
39011,45831
39013,69671
39015,44381
39017,370589
39019,28587
39021,39565
39023,137206
39025,199085
39027,41886
39029,106507
39031,36779
39033,42849
39035,1265111
39037,52507
39039,38677
39041,181061
39043,76398
39045,147474
39047,28880
39049,1195537
39051,42513
39053,30708
39055,93680
39057,163587
39059,39817
39061,802038
39063,75671
39065,31627
39067,15714
39069,28045
39071,42998
39073,29273
39075,43025
39077,59280
39079,32954
39081,68389
39083,60705
39085,229582
39087,62109
39089,167537
39091,45474
39093,301478
39095,437998
39097,43053
39099,235145
39101,66238
39103,173684
39105,23593
39107,40875
39109,103060
39111,14549
39113,534325
39115,14911
39117,34938
39119,85950
39121,14579
39123,41339
39125,19295
39127,36015
39129,56399
39131,28480
39133,161451
39135,41886
39137,34198
39139,122673
39141,77429
39143,60510
39145,78477
39147,56018
39149,49167
39151,374868
39153,540811
39155,207406
39157,92392
39159,52715
39161,28744
39163,13239
39165,217241
39167,61475
39169,114848
39171,37513
39173,128200
39175,22607
40001,22286
40003,5666
40005,14007
40007,5591
40009,23081
40011,9785
40013,43399
40015,29678
40017,122560
40019,48085
40021,48150
40023,15182
40025,2385
40027,265638
40029,5963
40031,126390
40033,6155
40035,14748
40037,70651
40039,28536
40041,41441
40043,4783
40045,4104
40047,61189
40049,27297
40051,53118
40053,4516
40055,6082
40057,2906
40059,3676
40061,12938
40063,13836
40065,26237
40067,6377
40069,11003
40071,45831
40073,15005
40075,9310
40077,11019
40079,49873
40081,34189
40083,43666
40085,9558
40087,35613
40089,33203
40091,20584
40093,7683
40095,15957
40097,41168
40099,13663
40101,70596
40103,11522
40105,10611
40107,12358
40109,741781
40111,39625
40113,47917
40115,32236
40117,16474
40119,78399
40121,45048
40123,37958
40125,70760
40127,11205
40129,3774
40131,88367
40133,25450
40135,41398
40137,44779
40139,21498
40141,7822
40143,613816
40145,75030
40147,51633
40149,11622
40151,8832
40153,20548
41001,15909
41003,86430
41005,383857
41007,37301
41009,49286
41011,62534
41013,20729
41015,22248
41017,162277
41019,107164
41021,1953
41023,7317
41025,7212
41027,22584
41029,206412
41031,21749
41033,82930
41035,65912
41037,7771
41039,354542
41041,46151
41043,118360
41045,30630
41047,319985
41049,11244
41051,759256
41053,76353
41055,1732
41057,25287
41059,76820
41061,25759
41063,6821
41065,25487
41067,547672
41069,1424
41071,100255
42001,101482
42003,1229338
42005,68409
42007,170245
42009,49324
42011,413491
42013,127121
42015,62792
42017,627053
42019,184970
42021,141584
42023,4939
42025,65006
42027,155171
42029,506575
42031,39646
42033,81184
42035,39517
42037,66887
42039,87598
42041,238614
42043,269665
42045,561098
42047,31550
42049,280646
42051,135660
42053,7667
42055,151275
42057,14772
42059,38085
42061,45943
42063,88218
42065,44764
42067,24904
42069,214477
42071,526823
42073,89871
42075,135251
42077,355245
42079,321027
42081,117168
42083,43127
42085,115655
42087,46773
42089,168798
42091,808460
42093,18356
42095,299267
42097,94428
42099,45701
42101,1547607
42103,56899
42105,17577
42107,147063
42109,39672
42111,76957
42113,6461
42115,42696
42117,42577
42119,44952
42121,54272
42123,41146
42125,208716
